idUser;idCupon
1;17
2;17
4;17
5;17
6;17
9;17
10;17
11;17
13;17
14;17
15;17
16;17
17;17
18;17
19;17
20;17
21;17
27;17
28;17
29;17
30;17
31;17
32;17
33;17
34;17
35;17
36;17
37;17
38;17
39;17
40;17
41;17
42;17
43;17
44;17
45;17
46;17
47;17
48;17
49;17
50;17
52;17
53;17
54;17
55;17
56;17
57;17
58;17
59;17
60;17
61;17
62;17
63;17
64;17
65;17
66;18
67;18
68;18
69;18
70;18
71;18
73;18
74;18
76;18
77;18
78;18
80;18
81;18
82;18
83;18
84;18
85;18
86;18
87;18
88;19
89;19
90;19
95;19
96;19
97;19
98;19
99;19
100;19
103;19
104;19
